image_name,genre
Amedeo_Modigliani_1.jpg,Expressionism
Amedeo_Modigliani_2.jpg,Expressionism
Amedeo_Modigliani_3.jpg,Expressionism
Amedeo_Modigliani_4.jpg,Expressionism
Amedeo_Modigliani_5.jpg,Expressionism
Amedeo_Modigliani_6.jpg,Expressionism
Amedeo_Modigliani_7.jpg,Expressionism
Amedeo_Modigliani_8.jpg,Expressionism
Amedeo_Modigliani_9.jpg,Expressionism
Amedeo_Modigliani_10.jpg,Expressionism
Amedeo_Modigliani_11.jpg,Expressionism
Amedeo_Modigliani_12.jpg,Expressionism
Amedeo_Modigliani_13.jpg,Expressionism
Amedeo_Modigliani_14.jpg,Expressionism
Amedeo_Modigliani_15.jpg,Expressionism
Amedeo_Modigliani_16.jpg,Expressionism
Amedeo_Modigliani_17.jpg,Expressionism
Amedeo_Modigliani_18.jpg,Expressionism
Amedeo_Modigliani_19.jpg,Expressionism
Amedeo_Modigliani_20.jpg,Expressionism
Amedeo_Modigliani_21.jpg,Expressionism
Amedeo_Modigliani_22.jpg,Expressionism
Amedeo_Modigliani_23.jpg,Expressionism
Amedeo_Modigliani_24.jpg,Expressionism
Amedeo_Modigliani_25.jpg,Expressionism
Amedeo_Modigliani_26.jpg,Expressionism
Amedeo_Modigliani_27.jpg,Expressionism
Amedeo_Modigliani_28.jpg,Expressionism
Amedeo_Modigliani_29.jpg,Expressionism
Amedeo_Modigliani_30.jpg,Expressionism
Amedeo_Modigliani_31.jpg,Expressionism
Amedeo_Modigliani_32.jpg,Expressionism
Amedeo_Modigliani_33.jpg,Expressionism
Amedeo_Modigliani_34.jpg,Expressionism
Amedeo_Modigliani_35.jpg,Expressionism
Amedeo_Modigliani_36.jpg,Expressionism
Amedeo_Modigliani_37.jpg,Expressionism
Amedeo_Modigliani_38.jpg,Expressionism
Amedeo_Modigliani_39.jpg,Expressionism
Amedeo_Modigliani_40.jpg,Expressionism
Amedeo_Modigliani_41.jpg,Expressionism
Amedeo_Modigliani_42.jpg,Expressionism
Amedeo_Modigliani_43.jpg,Expressionism
Amedeo_Modigliani_44.jpg,Expressionism
Amedeo_Modigliani_45.jpg,Expressionism
Amedeo_Modigliani_46.jpg,Expressionism
Amedeo_Modigliani_47.jpg,Expressionism
Amedeo_Modigliani_48.jpg,Expressionism
Amedeo_Modigliani_49.jpg,Expressionism
Amedeo_Modigliani_50.jpg,Expressionism
Amedeo_Modigliani_51.jpg,Expressionism
